DOMAIN,FQDN,URL,keywordInURL,title,description,keywords,hyperlinks,admission,engineering,management,gre,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biological-and-environmental-engineering/biological-and-environmental-engineering-ms-ithaca,True,"Biological and Environmental Engineering, M.S. (Ithaca) | Graduate School",,,0,0,17,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biological-and-environmental-engineering/biological-and-environmental-engineering-phd-ithaca,True,"Biological and Environmental Engineering, Ph.D. (Ithaca) | Graduate School",,,0,0,17,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/biomedical-engineering,True,Biomedical Engineering | Graduate School,,,0,0,23,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biomedical-engineering/biomedical-engineering-meng-ithaca,True,"Biomedical Engineering, M.Eng. (Ithaca) | Graduate School",,,0,0,11,0,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biomedical-engineering/biomedical-engineering-phd-ithaca,True,"Biomedical Engineering, Ph.D. (Ithaca) | Graduate School",,,0,1,12,0,3,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/biophysics,False,Biophysics | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/biophysics/biophysics-phd-ithaca,False,"Biophysics, Ph.D. (Ithaca) | Graduate School",,,0,2,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/chemical-engineering,True,Chemical Engineering | Graduate School,,,0,0,11,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/chemical-engineering/chemical-engineering-meng-ithaca,True,"Chemical Engineering, M.Eng. (Ithaca) | Graduate School",,,0,0,11,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/chemical-engineering/chemical-engineering-ms-ithaca,True,"Chemical Engineering, M.S. (Ithaca) | Graduate School",,,0,1,27,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/chemical-engineering/chemical-engineering-phd-ithaca,True,"Chemical Engineering, Ph.D. (Ithaca) | Graduate School",,,0,1,27,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/chemistry-and-chemical-biology,False,Chemistry and Chemical Biology | Graduate School,,,0,1,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/351,False,"Chemistry and Chemical Biology, M.S. (Ithaca) | Graduate School",,,0,1,2,0,1,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/chemistry-and-chemical-biology/chemistry-and-chemical-biology-phd-ithaca,False,"Chemistry and Chemical Biology, Ph.D. (Ithaca) | Graduate School",,,0,0,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/city-and-regional-planning,False,City and Regional Planning | Graduate School,,,0,0,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/city-and-regional-planning/city-and-regional-planning-mrp-ithaca,False,"City and Regional Planning, M.R.P. (Ithaca) | Graduate School",,,0,2,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/city-and-regional-planning/city-and-regional-planning-mrp-mla-dual-degree-ithaca,True,"City and Regional Planning, M.R.P./M.L.A. (dual degree) (Ithaca) | Graduate School",,,0,2,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/city-and-regional-planning/city-and-regional-planning-phd-ithaca,False,"City and Regional Planning, Ph.D. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/city-and-regional-planning/historic-preservation-planning-ma-ithaca,False,"Historic Preservation Planning, M.A. (Ithaca) | Graduate School",,,0,1,1,0,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/civil-and-environmental-engineering/civil-and-environmental-engineering-meng-ithaca,True,"Civil and Environmental Engineering, M.Eng. (Ithaca) | Graduate School",,,0,3,22,4,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/civil-and-environmental-engineering/civil-and-environmental-engineering-ms-ithaca,True,"Civil and Environmental Engineering, M.S. (Ithaca) | Graduate School",,,0,0,29,5,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/civil-and-environmental-engineering/civil-and-environmental-engineering-ms-phd-ithaca,True,"Civil and Environmental Engineering, M.S./Ph.D. (Ithaca) | Graduate School",,,0,0,29,5,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/civil-and-environmental-engineering/civil-and-environmental-engineering-phd-ithaca,True,"Civil and Environmental Engineering, Ph.D. (Ithaca) | Graduate School",,,0,0,29,5,2,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/classics,False,Classics | Graduate School,,,0,0,1,0,11,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/369,False,"Classics, M.A. (Ithaca) | Graduate School",,,0,1,1,0,4,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/subject/classics/classics-phd-ithaca,False,"Classics, Ph.D. (Ithaca) | Graduate School",,,0,2,1,0,11,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/cognitive-science-minor,False,Cognitive Science (minor) | Graduate School,,,0,1,1,0,0,
cornell.edu,gradschool.cornell.edu,http://gradschool.cornell.edu/academics/fields-of-study/field/comparative-biomedical-sciences,False,Comparative Biomedical Sciences | Graduate School,,,0,0,1,0,0,
